occupation	notemployed	reason
	Not employed	Other
(BEEN UNEMPLOYED MOST OF THE YEAR)  SP	Not employed	Other
ARCHITECT RETIRED	Not employed	Retired
ARMY DEP RETIRED	Not employed	Retired
ART PROFESSOR (RETIRED)	Not employed	Retired
ASST. ATTORNEY GENERAL, RETIRED	Not employed	Retired
AT HOME MOM	Not employed	Parent or homemaker
AT HOME MOTHER	Not employed	Parent or homemaker
AT HOME PARENT	Not employed	Parent or homemaker
AT-HOME MOM	Not employed	Parent or homemaker
AT-HOME MOTHER	Not employed	Parent or homemaker
BUSY MOM	Not employed	Parent or homemaker
COLLEGE PROFESSOR (RETIRED)	Not employed	Retired
COLLEGE STUDENT	Not employed	Student
COMPANION & HOMEMAKER	Not employed	Parent or homemaker
COMPANION- HOMEMAKER	Not employed	Parent or homemaker
COMPANION/HOMEMAKER	Not employed	Parent or homemaker
CURRENTLY UNEMPLOYED	Not employed	Other
DAD	Not employed	Parent or homemaker
DISABILITY	Not employed	Disability
DISABILITY RETIRED	Not employed	Retired
DISABLE	Not employed	Disability
DISABLED	Not employed	Disability
DISABLED / RETIRED	Not employed	Retired
DISABLED / UNEMPLOYED	Not employed	Disability
DISABLED- NOT EMPLOYED	Not employed	Disability
DISABLED VETERAN	Not employed	Disability
DISABLED, NOT EMPLOYED	Not employed	Disability
DISABLED/DO NOT WORK	Not employed	Disability
DISABLED/RETIRED	Not employed	Retired
DISABLED/UNEMPLOYED	Not employed	Disability
DISABLED-NONE	Not employed	Disability
DISABLES	Not employed	Disability
DOCTORAL STUDENT	Not employed	Student
ECONOMIST (RETIRED)	Not employed	Retired
EDITOR---RETIRED	Not employed	Retired
EDUCATION- RETIRED	Not employed	Retired
EDUCATOR (RETIRED)	Not employed	Retired
EDUCATOR RETIRED	Not employed	Retired
ENGINEER - RETIRED	Not employed	Retired
FATHER	Not employed	Parent or homemaker
FORCED UNEMPLOYED BY CUOMO	Not employed	Other
FORMER ART TEACHER (RETIRED)	Not employed	Retired
FT GRAD STUDENT	Not employed	Student
FULL TIME MOM	Not employed	Parent or homemaker
FULL TIME MOTHER	Not employed	Parent or homemaker
FULL TIME PARENT	Not employed	Parent or homemaker
FULL TIME STUDENT	Not employed	Student
FULL-TIME  MOTHER	Not employed	Parent or homemaker
FULL-TIME DAD	Not employed	Parent or homemaker
FULLTIME MOM	Not employed	Parent or homemaker
FULL-TIME MOM	Not employed	Parent or homemaker
FULL-TIME MOTHER	Not employed	Parent or homemaker
FULL-TIME STUDENT	Not employed	Student
GARDENER/MOTHER	Not employed	Parent or homemaker
GRAD STUDENT	Not employed	Student
GRADUATE STUDENT	Not employed	Student
GRANDFATHER	Not employed	Parent or homemaker
GRANDMOTHER	Not employed	Parent or homemaker
GRANDMOTHER - NOT EMPLOYED	Not employed	Parent or homemaker
HOME	Not employed	Parent or homemaker
HOME FATHER	Not employed	Parent or homemaker
HOME SCHOOL MOM	Not employed	Parent or homemaker
HOMEAKER/MOM	Not employed	Parent or homemaker
